id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
24384,Thompson,tube,13.79,4679.0,0.0157,,4.6,295.0,5.0
31372,Beus,annulus,13.79,1351.0,-0.0279,5.6,15.2,2134.0,1.6
6523,Thompson,tube,11.1,2712.0,0.0585,11.5,11.5,1524.0,7.0
14790,Thompson,tube,10.34,7432.0,-0.1208,10.3,10.3,762.0,6.6
24845,Thompson,tube,6.89,5723.0,-0.0254,,,762.0,5.8
22062,Thompson,tube,13.79,3852.0,-0.0149,,1.9,152.0,2.3
28744,Thompson,tube,13.79,4774.0,-0.1989,4.7,4.7,318.0,6.6
13196,,tube,13.79,1356.0,-0.1005,7.7,,457.0,1.6
8012,Beus,annulus,15.51,1410.0,-0.1257,5.6,15.2,2134.0,2.2
21348,Thompson,tube,6.89,7880.0,-0.0595,10.3,10.3,794.0,5.6
17726,Janssen,annulus,6.89,2807.0,0.0381,6.4,,914.0,3.8
14382,,,6.89,1519.0,0.0245,12.7,42.3,1778.0,3.9
30863,Richenderfer,,0.2,2000.0,-0.1224,15.0,120.0,10.0,6.0
15303,Janssen,annulus,6.89,2740.0,-0.008,12.7,38.1,,4.7
28987,Williams,tube,13.79,,0.0147,,9.5,1836.0,2.0
6263,Janssen,annulus,,1519.0,0.0146,8.5,22.3,2743.0,4.6
15688,Janssen,annulus,6.78,,0.067,12.7,,1778.0,3.1
5119,Thompson,tube,6.89,3770.0,0.0477,,10.8,,3.8
20753,Thompson,,,,0.0027,7.7,7.7,457.0,2.6
24867,Weatherhead,tube,13.79,2021.0,0.0047,7.7,,457.0,2.2
27683,Thompson,tube,6.89,3730.0,-0.0453,,12.8,1930.0,4.6
9812,Thompson,tube,7.03,2889.0,0.1856,4.6,4.6,229.0,5.9
16989,Peskov,tube,18.0,2217.0,-0.1184,10.0,10.0,1650.0,3.2
28823,Thompson,tube,6.89,,-0.0299,,37.5,1953.0,3.6
11467,Thompson,tube,6.89,1370.0,-0.0962,23.6,23.6,610.0,5.6
612,,tube,7.0,4056.0,0.0763,,10.8,864.0,3.4
1740,,tube,15.17,2691.0,0.0482,,9.5,1836.0,2.8
7268,Thompson,,6.86,4096.0,-0.0596,10.8,10.8,432.0,3.6
16929,Thompson,,13.79,1655.0,0.0648,4.7,4.7,318.0,2.9
19557,Janssen,,4.16,2292.0,0.0448,12.7,42.3,,2.7
24469,Janssen,,6.93,5615.0,-0.0278,6.4,15.9,914.0,10.6
17754,Peskov,,14.0,,0.0486,10.0,10.0,1300.0,2.9
9123,Thompson,tube,13.79,2414.0,-0.0138,1.9,1.9,152.0,4.2
18998,Weatherhead,tube,13.79,696.0,-0.0222,11.1,11.1,457.0,3.9
10759,Thompson,tube,13.79,1655.0,-0.1377,7.7,7.7,457.0,4.6
9980,Thompson,tube,13.79,1339.0,0.0334,5.7,5.7,625.0,2.1
23688,Thompson,tube,17.24,3811.0,-0.0054,1.9,,152.0,4.5
23181,Thompson,tube,13.79,2319.0,0.1295,7.8,,591.0,2.5
10935,Thompson,,6.89,1967.0,0.0383,12.8,12.8,1930.0,1.5
24916,Beus,annulus,15.51,3682.0,-0.0184,5.6,15.2,2134.0,2.1
16920,Thompson,tube,18.27,857.0,-0.0466,3.0,3.0,150.0,1.9
10569,Janssen,,6.89,2767.0,-0.0672,12.7,38.1,914.0,6.7
11875,Thompson,tube,,3743.0,-0.0254,1.9,1.9,152.0,3.1
27286,Thompson,tube,13.79,678.0,-0.1601,,4.7,625.0,6.7
10318,Thompson,,6.79,3784.0,-0.0008,,4.7,,4.8
27996,Thompson,tube,,2373.0,-0.0198,1.9,,152.0,3.0
18273,Thompson,tube,6.89,2740.0,0.0753,12.8,12.8,1930.0,3.3
7523,Thompson,tube,13.79,2292.0,0.0787,7.8,7.8,591.0,3.3
23609,,tube,,,-0.1488,7.7,7.7,457.0,3.4
29657,Thompson,tube,6.89,2699.0,0.0825,12.8,12.8,1930.0,4.2
10401,Thompson,,13.79,5289.0,-0.1965,7.7,7.7,457.0,9.3
27082,Thompson,tube,6.89,4069.0,0.0324,10.8,10.8,864.0,2.2
7327,Thompson,tube,13.79,678.0,0.0808,7.7,7.7,,2.3
2115,Thompson,tube,13.79,,-0.0398,7.7,7.7,457.0,2.7
1680,Thompson,tube,13.79,3743.0,-0.0511,1.9,1.9,152.0,5.7
15556,Thompson,tube,13.79,3296.0,0.0705,4.6,4.6,295.0,4.6
30639,Weatherhead,tube,,2645.0,0.0948,,7.7,457.0,1.8
28966,Thompson,,15.51,2875.0,-0.0715,1.9,1.9,152.0,4.5
22082,Thompson,,6.89,5723.0,-0.0428,10.3,10.3,,9.3
2420,Williams,tube,15.17,2684.0,0.0627,9.5,9.5,1836.0,2.8
29812,Janssen,annulus,,5500.0,-0.0297,,38.1,737.0,5.9
12692,Thompson,tube,8.89,4069.0,0.0753,11.5,11.5,1524.0,1.9
25957,Thompson,,6.89,3933.0,-0.0434,10.3,10.3,762.0,3.0
14307,,tube,,2428.0,-0.0522,1.9,1.9,152.0,4.8
15207,Thompson,,3.86,2034.0,0.1671,10.8,10.8,432.0,6.0
28982,Thompson,tube,13.79,1383.0,0.1533,7.7,7.7,457.0,1.5
4898,,tube,3.86,4043.0,0.0001,10.8,10.8,432.0,4.4
15658,Thompson,tube,7.0,3458.0,0.1113,,10.8,864.0,2.7
26997,,tube,10.0,1944.0,0.064,10.0,10.0,565.0,3.4
9601,Thompson,tube,13.79,1313.0,0.0142,,5.7,625.0,5.1
9516,Kossolapov,,0.1,1000.0,-0.1674,15.0,120.0,10.0,6.3
23627,Thompson,tube,,,0.0515,4.6,4.6,229.0,2.9
8327,Beus,annulus,15.51,2717.0,-0.0185,5.6,15.2,2134.0,2.3
10465,Janssen,annulus,,5561.0,-0.0298,12.7,,914.0,4.0
11535,Thompson,tube,6.89,4069.0,0.0332,5.6,5.6,432.0,5.5
11430,,,6.92,2319.0,0.1017,8.5,22.3,2743.0,2.1
19881,Thompson,tube,6.89,3811.0,-0.0443,10.3,10.3,762.0,4.3
15412,Beus,annulus,8.27,2717.0,0.087,5.6,,2134.0,2.3
27186,Thompson,tube,12.07,4028.0,-0.0198,1.9,1.9,696.0,8.0
14303,Thompson,tube,6.89,1356.0,0.1167,,,1953.0,2.3
22198,,tube,13.79,1370.0,-0.0412,4.7,4.7,318.0,5.0
626,Beus,annulus,8.27,1355.0,0.2195,5.6,,2134.0,2.1
11122,Mortimore,annulus,11.03,,0.1609,,13.3,2134.0,1.8
12842,Thompson,tube,13.79,5696.0,-0.331,4.7,4.7,318.0,6.4
20928,Thompson,tube,13.79,1298.0,0.0351,,7.8,591.0,2.5
12503,Thompson,tube,,5967.0,-0.0663,10.3,10.3,,5.7
28497,Janssen,,5.51,1519.0,0.1487,,42.3,1778.0,3.2
30430,Thompson,tube,11.0,6008.0,-0.0931,11.5,11.5,914.0,6.7
719,Thompson,,12.07,,-0.0408,1.9,1.9,,3.9
5713,Thompson,tube,6.89,5696.0,-0.0325,10.3,10.3,762.0,2.5
15291,Peskov,tube,12.0,4750.0,0.0428,10.0,10.0,660.0,3.5
1971,Thompson,tube,13.79,,-0.0482,4.7,4.7,305.0,8.0
28051,Thompson,,10.34,7880.0,0.0209,,10.3,762.0,2.8
22128,Thompson,tube,3.45,5696.0,0.0554,,10.3,762.0,5.9
11091,Thompson,tube,13.79,3635.0,0.072,4.6,,295.0,2.5
30521,Thompson,tube,13.79,,-0.001,7.8,7.8,,2.0
2362,,plate,0.51,2000.0,0.0374,15.0,120.0,10.0,4.8
23573,Janssen,annulus,6.89,2278.0,0.188,8.5,22.3,,2.1
16044,Williams,tube,8.27,4056.0,0.1275,,9.5,,1.2
22387,Thompson,tube,13.79,1316.0,-0.0105,5.7,5.7,625.0,3.3
8742,Thompson,,6.89,3458.0,0.0479,23.6,,1972.0,2.8
10192,Beus,annulus,13.79,2729.0,-0.0515,,15.2,2134.0,5.3
25743,Thompson,tube,12.07,3743.0,-0.0547,1.9,1.9,152.0,9.2
8887,Weatherhead,tube,13.79,,-0.0373,7.7,7.7,457.0,4.3
2977,Thompson,,10.45,1288.0,-0.0881,4.6,4.6,229.0,4.3
13366,Thompson,tube,2.63,2767.0,0.008,3.0,3.0,150.0,4.2
29152,Thompson,,13.79,6239.0,-0.1209,4.7,4.7,318.0,14.7
26568,Thompson,tube,13.79,7880.0,-0.1169,,1.9,,4.4
15000,Thompson,tube,3.86,3974.0,0.0428,10.8,10.8,864.0,3.9
14010,Thompson,,6.89,7500.0,0.1228,12.8,12.8,1930.0,3.2
31093,Weatherhead,tube,13.79,2658.0,-0.1381,7.7,,457.0,3.3
165,Thompson,tube,12.07,,0.1695,1.9,1.9,152.0,1.9
3897,Thompson,tube,18.96,1872.0,-0.1334,1.9,,152.0,2.5
30298,,tube,6.89,5357.0,-0.1347,37.5,37.5,1953.0,3.4
13294,Thompson,tube,13.79,,0.1163,7.8,7.8,591.0,3.8
29262,,tube,6.89,4001.0,-0.0133,10.8,10.8,432.0,3.4
1415,Thompson,tube,15.51,3065.0,-0.0331,1.9,,696.0,2.9
12845,Janssen,annulus,6.89,1519.0,0.1498,8.5,22.3,,3.0
11195,Janssen,annulus,9.68,5615.0,-0.0593,12.7,38.1,,8.2
11124,Weatherhead,tube,,2007.0,0.0214,7.7,7.7,457.0,1.4
15130,Weatherhead,tube,,1668.0,-0.2252,7.7,7.7,457.0,3.6
29990,Inasaka,tube,0.64,,-0.1392,3.0,3.0,100.0,11.3
9603,,tube,3.9,3974.0,-0.0188,,10.8,864.0,4.7
1899,,tube,10.34,5845.0,-0.1208,10.3,,762.0,6.5
9944,Weatherhead,,13.79,929.0,-0.0071,7.7,7.7,457.0,3.9
2515,Janssen,annulus,6.89,1546.0,0.1965,8.5,22.3,2591.0,2.0
27436,,annulus,11.03,3701.0,0.1162,5.6,15.2,2134.0,1.4
20804,Peskov,tube,12.0,1000.0,0.0051,10.0,10.0,565.0,4.0
23202,,tube,,,0.0351,7.8,7.8,591.0,2.8
30849,Thompson,tube,13.79,6198.0,0.0073,,,318.0,3.0
31001,Janssen,annulus,6.89,5588.0,-0.0251,12.7,38.1,914.0,4.8
26208,Peskov,tube,10.0,3056.0,0.0103,10.0,10.0,890.0,4.0
4431,Weatherhead,tube,13.79,1668.0,-0.1224,7.7,,457.0,2.8
21720,Thompson,tube,0.1,5588.0,0.0077,1.0,1.0,25.0,9.2
22837,Thompson,tube,3.45,3757.0,0.1466,10.3,,762.0,4.3
7874,Thompson,,6.89,,-0.0191,10.3,10.3,794.0,5.0
30149,Thompson,tube,6.89,4842.0,-0.0703,10.3,10.3,762.0,6.2
7064,Thompson,tube,15.51,2455.0,0.0196,1.9,1.9,152.0,4.7
9649,Thompson,tube,3.45,5696.0,-0.0338,,,762.0,4.8
1798,Peskov,tube,12.0,1944.0,-0.0924,10.0,,1000.0,3.4
8234,Thompson,tube,13.79,4774.0,-0.0443,4.7,4.7,305.0,4.6
9129,,,,,0.1729,7.8,7.8,591.0,2.2
12653,,tube,,2743.0,0.1332,9.5,9.5,,3.3
20002,,,6.89,5520.0,-0.0383,12.7,38.1,,4.4
10661,,,6.79,,-0.0415,10.8,10.8,216.0,5.0
1618,Thompson,,13.79,1370.0,-0.1377,,7.7,457.0,2.5
4641,Thompson,tube,13.79,2265.0,-0.0992,1.9,1.9,152.0,4.7
17716,Thompson,tube,18.96,2034.0,-0.1943,1.9,1.9,152.0,1.8
8780,Thompson,tube,13.79,1383.0,-0.068,1.9,,696.0,2.6
23401,Beus,annulus,13.79,,-0.0185,5.6,15.2,2134.0,2.3
2292,Janssen,annulus,8.3,1519.0,0.0382,12.7,,1778.0,4.4
22920,,,3.45,7717.0,0.0404,10.3,10.3,762.0,4.3
2112,Thompson,tube,13.79,1356.0,0.1046,4.7,4.7,318.0,1.6
12496,Thompson,tube,6.89,6429.0,-0.0534,10.3,10.3,,6.0
27637,Janssen,,6.72,5615.0,0.0036,6.4,15.9,914.0,2.4
3904,Thompson,tube,11.0,3391.0,0.0854,11.5,11.5,914.0,4.4
3930,Thompson,,13.79,2482.0,-0.0515,1.9,,,4.8
8644,Thompson,tube,6.89,1953.0,0.0253,37.5,37.5,1953.0,2.2
10099,Thompson,tube,13.79,833.0,-0.1224,3.0,3.0,35.0,3.2
3966,Thompson,tube,6.89,5466.0,0.0487,,,1972.0,2.4
15175,Weatherhead,tube,13.79,1682.0,-0.0123,7.7,7.7,457.0,5.0
25589,Williams,,13.79,4073.0,0.0627,9.5,9.5,1836.0,2.6
18063,Weatherhead,tube,,1345.0,0.0249,7.7,7.7,457.0,1.1
26967,,tube,,2439.0,-0.068,10.0,,1650.0,2.6
11434,Thompson,tube,6.89,,0.0778,3.6,,76.0,3.7
21117,Thompson,,6.79,,0.0029,10.8,10.8,216.0,4.4
22932,Thompson,tube,10.34,5940.0,-0.0591,10.3,10.3,762.0,5.5
17787,Janssen,,8.3,1519.0,0.0109,12.7,42.3,,4.1
7566,Thompson,tube,12.07,3201.0,-0.0198,,1.9,,6.2
22991,Thompson,tube,18.27,5384.0,-0.0123,3.0,3.0,150.0,4.7
24260,Janssen,annulus,9.68,1519.0,-0.0361,12.7,42.3,1778.0,3.7
30558,Thompson,tube,2.63,1370.0,0.0047,3.0,3.0,150.0,4.5
24039,Thompson,tube,18.96,4136.0,-0.103,,1.9,,3.8
22013,Thompson,tube,13.79,4679.0,0.0587,4.7,4.7,318.0,5.0
10299,Thompson,tube,6.89,3811.0,0.0802,23.6,,1972.0,3.0
2642,Williams,tube,15.17,2741.0,0.0636,9.5,,1836.0,2.4
12219,Richenderfer,plate,0.1,,-0.0029,15.0,120.0,10.0,3.8
29581,Beus,,11.03,1345.0,-0.0007,5.6,,2134.0,4.1
8642,Janssen,annulus,6.89,,-0.0412,6.4,15.9,914.0,8.0
17926,Thompson,,6.89,3825.0,-0.0358,10.3,10.3,794.0,3.9
22358,,plate,,,-0.0096,15.0,120.0,10.0,4.3
14366,Beus,annulus,,2729.0,-0.0279,5.6,,2134.0,2.2
26259,Thompson,,12.07,2875.0,-0.0296,1.9,1.9,696.0,2.1
23594,,tube,6.72,1017.0,-0.135,10.8,10.8,216.0,7.3
27027,Beus,annulus,11.03,2740.0,0.0908,5.6,15.2,2134.0,1.6
8825,Thompson,tube,6.72,4048.0,0.0003,10.8,10.8,864.0,4.0
26187,Thompson,,7.14,2021.0,0.0997,10.8,,864.0,3.2
7344,Thompson,tube,6.89,,-0.0195,12.8,12.8,1930.0,9.5
16725,Thompson,tube,11.03,4062.0,0.1275,9.5,9.5,1836.0,1.6
23654,Thompson,tube,6.89,4056.0,0.0415,10.8,10.8,,4.4
1489,,tube,13.79,689.0,-0.1334,11.1,11.1,,1.9
31481,Thompson,,6.89,5479.0,0.0192,12.8,12.8,1930.0,3.6
23763,Thompson,,,1899.0,-0.0134,23.6,,1972.0,6.6
9274,,,6.89,2699.0,-0.0166,12.8,12.8,1930.0,5.5
13378,Janssen,,9.68,1519.0,0.0102,12.7,42.3,1778.0,4.0
7961,Thompson,tube,10.34,,-0.1221,10.3,10.3,762.0,6.7
22027,Thompson,tube,6.89,1967.0,-0.0105,,23.6,610.0,4.4
8812,Peskov,tube,10.0,1682.0,0.0323,,10.0,1650.0,2.2
17000,Williams,tube,11.03,1000.0,0.0644,9.5,9.5,1836.0,2.1
7866,Thompson,tube,2.63,2848.0,0.007,3.0,3.0,150.0,2.3
18125,Thompson,tube,13.79,3580.0,0.0406,4.7,,305.0,2.5
3204,Thompson,,13.79,2346.0,-0.0296,1.9,1.9,696.0,2.9
24395,Weatherhead,tube,13.79,1655.0,0.0155,7.7,7.7,457.0,2.0
3962,Thompson,tube,,4055.0,0.1388,10.8,,864.0,2.3
22484,Thompson,tube,10.34,6035.0,-0.0925,,10.3,762.0,6.9
26912,Janssen,annulus,6.89,1519.0,0.081,12.7,42.3,2743.0,2.0
13744,,tube,13.79,1356.0,0.0155,7.8,7.8,591.0,2.0
6475,Peskov,tube,12.0,4986.0,-0.0719,10.0,10.0,,4.2
4752,Thompson,tube,8.89,1926.0,0.0379,37.5,37.5,1953.0,2.9
19504,Thompson,,15.51,2984.0,0.0141,,1.9,152.0,3.0
4403,Janssen,annulus,,5615.0,-0.0945,6.4,,914.0,4.3
10902,,tube,13.79,6239.0,-0.1347,7.7,7.7,457.0,5.0
29256,Beus,,15.51,3701.0,-0.0184,5.6,5.6,2134.0,2.5
6338,Thompson,tube,0.1,,0.0547,1.0,1.0,51.0,5.5
3454,Thompson,tube,13.79,1316.0,0.0141,5.7,5.7,625.0,2.5
7302,,annulus,,2319.0,0.0029,6.4,15.9,914.0,2.8
10254,Beus,annulus,13.79,1354.0,0.1712,5.6,15.2,2134.0,1.8
17750,,tube,13.79,685.0,0.0782,7.8,7.8,591.0,2.0
24490,,tube,13.79,,0.0985,7.8,7.8,,2.5
5638,Thompson,tube,13.79,694.0,-0.0428,4.7,4.7,318.0,3.4
22231,Peskov,tube,14.0,1000.0,-0.0465,10.0,10.0,565.0,2.8
1915,,tube,,4882.0,0.0351,10.3,10.3,762.0,4.4
21724,,,13.79,2731.0,0.1533,9.5,9.5,1836.0,1.4
6614,Thompson,tube,12.07,4042.0,-0.0442,1.9,1.9,,4.8
27421,,tube,13.79,2780.0,0.0833,4.7,4.7,305.0,1.6
19204,Thompson,,18.27,2740.0,-0.0465,3.0,3.0,,4.5
16472,Thompson,tube,6.79,4204.0,-0.0415,10.8,10.8,432.0,5.9
20955,Peskov,tube,14.0,2200.0,-0.1488,,10.0,893.0,3.1
16327,Williams,,,4092.0,-0.0322,,9.5,1836.0,7.7
12434,Williams,tube,15.17,2693.0,0.099,9.5,9.5,1836.0,2.9
12479,Thompson,tube,13.79,925.0,0.0334,,,457.0,2.3
11627,Thompson,tube,13.79,5398.0,0.0051,4.7,4.7,318.0,3.2
6884,Thompson,tube,13.79,2333.0,0.0279,7.8,7.8,591.0,2.2
29849,Thompson,tube,13.79,,-0.4456,4.7,4.7,318.0,5.4
318,Thompson,tube,6.89,6795.0,-0.0434,10.3,,794.0,6.2
5253,Peskov,tube,12.0,2200.0,-0.1184,10.0,10.0,893.0,6.2
14948,Thompson,tube,,4123.0,-0.1121,10.8,10.8,432.0,4.8
3654,Peskov,tube,10.0,5361.0,-0.0373,10.0,10.0,1000.0,4.1
22312,Thompson,tube,0.1,5600.0,0.0929,1.0,1.0,25.0,6.2
16556,Janssen,annulus,6.89,3079.0,0.1016,8.5,24.6,,3.0
2949,Thompson,,7.0,3458.0,0.0716,,10.8,864.0,6.8
2353,Thompson,,13.79,,-0.1005,7.8,7.8,,2.3
3408,Thompson,tube,15.51,3038.0,-0.0801,1.9,1.9,152.0,3.2
11173,Janssen,annulus,9.65,5615.0,0.0105,,15.9,914.0,2.5
3018,Janssen,annulus,6.89,1519.0,0.1086,,,1778.0,2.9
9750,Thompson,,3.45,3960.0,0.003,10.3,,762.0,4.0
13773,Thompson,tube,3.86,2034.0,-0.0925,10.8,10.8,,6.8
10010,Thompson,tube,6.89,6388.0,-0.0203,4.7,,318.0,5.2
29492,Thompson,tube,15.51,3743.0,-0.0579,1.9,1.9,152.0,4.5
3815,,,6.89,1354.0,0.0275,12.7,38.1,737.0,2.2
16807,Beus,annulus,13.79,3665.0,0.0253,,5.6,2134.0,2.2
22146,Thompson,tube,3.86,4123.0,0.0151,10.8,10.8,432.0,6.8
4970,Thompson,tube,12.07,3119.0,-0.0415,1.9,,152.0,10.4
1344,Weatherhead,tube,,1397.0,-0.1756,11.1,11.1,457.0,3.8
24368,Thompson,tube,13.79,3052.0,0.1038,7.8,7.8,591.0,2.0
257,Peskov,tube,18.0,1944.0,-0.0881,10.0,10.0,1650.0,3.2
18695,,tube,11.0,4069.0,0.0587,,11.5,1524.0,2.6
23522,Thompson,tube,11.07,2319.0,0.0788,11.5,,1524.0,1.3
2773,Thompson,tube,15.51,2197.0,-0.0874,1.9,1.9,152.0,4.7
17667,Thompson,tube,,4123.0,0.0496,4.7,4.7,,3.2
19401,Thompson,tube,13.79,4584.0,-0.0492,4.7,4.7,318.0,5.0
30613,Thompson,tube,6.89,,0.1743,10.8,10.8,1727.0,1.2
21969,Thompson,tube,13.79,6781.0,0.1484,4.7,4.7,318.0,2.5
15004,Janssen,annulus,6.89,2292.0,0.2085,8.5,,2743.0,2.6
11100,Thompson,tube,6.89,,0.099,4.6,,1727.0,2.6
2180,Thompson,tube,13.79,5500.0,-0.0218,4.7,4.7,318.0,3.2
17241,,tube,13.79,1587.0,0.0334,7.8,7.8,591.0,2.3
29026,Thompson,,12.07,2590.0,-0.0188,1.9,,152.0,5.0
10290,Thompson,tube,13.79,3770.0,-0.0277,4.7,4.7,318.0,5.1
5909,Thompson,tube,,3743.0,-0.0531,1.9,1.9,152.0,3.2
2882,,,15.51,2704.0,0.0535,5.6,15.2,2134.0,2.3
9705,Janssen,annulus,6.89,2292.0,0.0102,12.7,42.3,1778.0,3.6
14967,Thompson,,8.96,4069.0,0.1455,11.5,11.5,1524.0,2.4
28845,Thompson,tube,13.79,1465.0,0.0484,7.7,7.7,457.0,1.6
5425,,tube,6.89,734.0,0.195,23.6,23.6,,2.8
24040,,tube,13.79,3404.0,0.0863,,4.6,295.0,2.5
22263,Thompson,tube,13.79,,0.0374,4.7,4.7,,2.7
20275,Thompson,,15.51,4986.0,-0.0415,1.9,,152.0,12.6
26902,Thompson,tube,13.79,,0.0808,7.7,7.7,457.0,2.3
20111,Thompson,,13.79,,-0.0592,,3.6,76.0,7.9
9972,Weatherhead,tube,13.79,693.0,0.0145,,,457.0,2.1
16122,Thompson,tube,13.79,,-0.0424,4.7,4.7,1050.0,4.3
27042,Janssen,annulus,6.89,,0.0635,8.5,24.6,,2.0
17803,Weatherhead,tube,13.79,1356.0,0.1282,,,457.0,1.1
21527,Thompson,tube,6.86,4056.0,0.0434,10.8,10.8,,3.6
26469,Thompson,tube,13.79,,-0.022,,1.9,696.0,2.6
13131,,tube,11.0,4069.0,0.0888,11.5,11.5,1524.0,2.7
14016,,tube,12.07,4028.0,-0.0703,1.9,1.9,696.0,2.1
18219,Janssen,,6.87,1533.0,0.1018,8.5,22.3,2743.0,3.6
16836,Thompson,tube,11.03,3404.0,0.0766,11.5,11.5,,2.5
26500,,tube,3.9,4069.0,0.0003,10.8,10.8,864.0,3.8
26403,Thompson,tube,13.79,4367.0,0.0001,4.7,4.7,318.0,3.9
5959,Thompson,,13.79,1046.0,0.1088,7.8,7.8,591.0,9.3
21008,Thompson,tube,2.63,2740.0,0.0047,3.0,3.0,150.0,4.5
14176,Kossolapov,plate,0.1,310.0,-0.0187,15.0,120.0,10.0,3.1
28775,Thompson,tube,13.79,3997.0,-0.1355,4.7,,318.0,4.0
3105,Thompson,tube,13.79,1668.0,-0.2364,7.7,7.7,457.0,4.3
28011,Thompson,tube,6.89,5466.0,0.1165,,12.8,1930.0,3.9
30997,Thompson,tube,6.89,1370.0,-0.0434,12.4,12.4,610.0,4.4
10754,Thompson,tube,7.03,4059.0,0.0636,10.8,10.8,,3.8
3871,Thompson,tube,6.89,1668.0,0.0001,,12.4,610.0,4.4
10533,Thompson,tube,,,-0.0237,10.3,10.3,762.0,3.5
9307,Thompson,tube,18.96,2034.0,-0.2493,1.9,1.9,152.0,3.3
11578,,tube,13.79,,0.0238,11.1,11.1,,2.7
6741,,tube,17.24,3662.0,-0.1141,1.9,,696.0,3.6
26047,,tube,3.45,7866.0,-0.0569,10.3,10.3,762.0,5.7
11661,Thompson,tube,6.83,1383.0,-0.0479,5.6,5.6,,5.4
6350,Thompson,tube,13.79,1351.0,-0.001,7.8,,591.0,4.6
29784,Thompson,tube,13.79,4077.0,0.0196,,4.7,318.0,2.7
29228,Thompson,tube,,,-0.1338,10.8,10.8,216.0,10.7
22405,Thompson,tube,13.79,1035.0,0.072,7.8,7.8,,2.6
7767,Peskov,tube,14.0,1000.0,0.0108,10.0,10.0,565.0,2.9
29984,Thompson,tube,10.34,4842.0,-0.0997,10.3,10.3,762.0,5.0
22019,Thompson,,6.89,4964.0,0.0033,4.7,,,9.3
15409,Thompson,tube,13.79,,0.0406,4.7,,305.0,2.3
6306,Thompson,,13.79,1302.0,0.086,4.6,4.6,,2.5
31095,Thompson,tube,,3675.0,0.0765,1.9,1.9,152.0,4.4
1317,,,13.79,7961.0,-0.2001,4.7,4.7,318.0,5.9
1545,Thompson,tube,3.9,,0.105,10.8,10.8,432.0,5.3
24000,Janssen,,6.9,1519.0,0.0557,12.7,,1778.0,3.2
22228,Peskov,tube,19.2,3476.0,0.0407,10.0,10.0,893.0,2.7
21959,,tube,6.89,5384.0,0.0063,4.7,,318.0,3.2
3657,Thompson,tube,,956.0,-0.1702,,,457.0,9.0
22716,Thompson,tube,6.93,4066.0,0.1671,10.8,10.8,1727.0,2.3
16408,,tube,12.0,1000.0,-0.0472,,10.0,565.0,2.7
24799,Thompson,tube,6.89,,-0.0431,10.3,10.3,762.0,6.2
25764,Williams,,15.51,1132.0,0.1891,,9.5,1836.0,1.0
10335,,,,4001.0,-0.0297,10.3,10.3,,4.2
9556,,,18.27,4069.0,-0.0593,3.0,3.0,150.0,3.6
3119,Thompson,tube,17.24,3065.0,-0.0134,1.9,1.9,152.0,4.1
5731,,annulus,15.51,3690.0,-0.0279,5.6,15.2,2134.0,2.1
28870,Thompson,tube,6.89,3960.0,-0.1088,10.3,10.3,762.0,5.3
8713,Thompson,,6.89,4069.0,0.0231,10.8,10.8,432.0,4.0
5154,Thompson,tube,13.79,,0.0126,,4.6,295.0,2.6
1499,Janssen,,9.65,5615.0,-0.3491,,15.9,914.0,6.2
7418,Beus,annulus,11.03,1358.0,0.1917,5.6,,2134.0,2.5
23204,Janssen,annulus,8.3,1519.0,0.0114,,,1778.0,3.1
29452,Thompson,tube,,,-0.4486,4.7,4.7,,6.6
29487,Weatherhead,tube,,2021.0,-0.0202,7.7,7.7,457.0,8.0
24433,Thompson,tube,,542.0,0.1619,19.8,19.8,457.0,1.7
16702,Williams,tube,13.79,1359.0,-0.0158,9.5,9.5,1836.0,2.1
1388,Thompson,tube,13.79,2034.0,-0.0258,1.9,1.9,696.0,2.9
12032,Thompson,tube,13.79,4964.0,0.079,4.7,,318.0,1.6
25575,,,,,-0.0202,1.9,1.9,152.0,3.4
30801,,tube,3.45,3865.0,-0.1428,10.3,,762.0,4.8
2007,Peskov,tube,12.0,4986.0,-0.0193,10.0,10.0,1000.0,4.1
12270,Thompson,tube,6.86,4096.0,0.0482,10.8,10.8,432.0,2.8
533,Thompson,tube,6.89,,-0.0235,3.6,3.6,,4.9
11537,Janssen,annulus,4.13,2292.0,0.0324,12.7,42.3,1778.0,2.8
29071,Thompson,tube,0.1,2875.0,-0.0434,3.0,3.0,51.0,7.0
1421,,tube,18.27,2740.0,-0.0438,1.9,1.9,152.0,3.7
30438,Weatherhead,tube,,679.0,-0.0111,,11.1,457.0,2.7
1703,Thompson,tube,6.86,1899.0,0.0028,,10.8,432.0,3.3
4405,Weatherhead,tube,13.79,,-0.0487,7.7,7.7,457.0,5.4
3054,Thompson,,6.89,4069.0,0.0611,5.6,5.6,432.0,3.9
28087,Thompson,tube,13.79,1356.0,0.0144,,5.7,625.0,2.8
3058,Thompson,tube,,7717.0,-0.1179,10.3,10.3,762.0,3.9
8964,Thompson,tube,13.79,2278.0,0.0279,7.8,7.8,591.0,3.7
18004,Thompson,tube,17.24,3757.0,-0.1124,,1.9,,1.9
12198,Peskov,tube,12.0,1944.0,-0.068,10.0,10.0,1650.0,2.8
22662,Thompson,tube,17.24,2848.0,-0.0258,1.9,1.9,696.0,2.5
11422,Peskov,tube,,,-0.0457,10.0,10.0,660.0,4.8
